aco_fm1,aco_fm2,aco_fm3,aco_fm4,error_reason,Frames,dbm_master_url
,,,,Pass,0,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,1,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,2,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,3,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,4,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,5,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,6,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,7,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,8,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,9,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,10,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,11,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,12,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,13,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,14,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,15,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,16,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,17,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,18,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,19,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,20,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,21,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,22,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,23,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,24,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,25,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,26,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,27,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,28,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,29,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,30,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,31,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,32,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,33,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,34,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,35,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,36,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,37,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,38,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,39,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,40,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,41,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,42,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,43,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,44,/app/raw_data/subj02_timepoint02.mp4
,,,,Pass,45,/app/raw_data/subj02_timepoint02.mp4
